dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
USPS,2,1,Adapter,0.9601,0.9569,0.9581,0.9573,25440,89.45,0.6132
USPS,2,1,LoRA,0.9636,0.9616,0.9616,0.9615,49704,69.37,0.8510
USPS,2,1,LFW(ours),0.9337,0.9287,0.9294,0.9285,3072,105.78,0.5808
USPS,2,1,FFT,0.9661,0.9633,0.9657,0.9643,1218186,112.78,0.5808
USPS,3,1,ZeroShot,0.2671,0.7525,0.2384,0.2128,0,0.0,0.4633
USPS,3,0.05,LinearProbe,0.8416,0.8428,0.8222,0.8063,1290,1.28,0.4678
USPS,3,0.05,BitFit,0.9148,0.9179,0.9054,0.9087,8714,3.19,0.4631
USPS,3,0.05,SSF,0.9168,0.9133,0.9103,0.9097,1792,3.22,0.4950
USPS,3,0.05,Adapter,0.9452,0.9446,0.9420,0.9427,25440,3.13,0.5144
USPS,3,0.05,LoRA,0.9462,0.9408,0.9460,0.9429,49704,5.65,0.7084
USPS,3,0.05,LFW(ours),0.9058,0.9055,0.8978,0.8981,3072,3.82,0.5128
USPS,3,0.05,FFT,0.9487,0.9449,0.9451,0.9446,1218186,7.58,0.5869
USPS,3,0.1,LinearProbe,0.9113,0.9044,0.9047,0.9042,1290,6.42,0.5865
USPS,3,0.1,BitFit,0.9253,0.9247,0.9200,0.9198,8714,8.36,0.6058
USPS,3,0.1,SSF,0.9462,0.9451,0.9419,0.9427,1792,11.33,0.6023
USPS,3,0.1,Adapter,0.9332,0.9321,0.9261,0.9273,25440,5.42,0.6217
USPS,3,0.1,LoRA,0.9596,0.9575,0.9571,0.9572,49704,14.88,0.8534
USPS,3,0.1,LFW(ours),0.9053,0.9070,0.8972,0.8981,3072,7.20,0.5912
USPS,3,0.1,FFT,0.9482,0.9457,0.9438,0.9439,1218186,10.54,0.5749
USPS,3,0.2,LinearProbe,0.9248,0.9194,0.9204,0.9198,1290,12.73,0.5761
USPS,3,0.2,BitFit,0.9497,0.9454,0.9476,0.9462,8714,26.80,0.5758
USPS,3,0.2,SSF,0.9567,0.9531,0.9554,0.9540,1792,18.98,0.4888
USPS,3,0.2,Adapter,0.9557,0.9536,0.9528,0.9529,25440,12.06,0.4935
USPS,3,0.2,LoRA,0.9651,0.9630,0.9624,0.9626,49704,16.39,0.7103
USPS,3,0.2,LFW(ours),0.9263,0.9246,0.9202,0.9213,3072,34.21,0.5870
USPS,3,0.2,FFT,0.9626,0.9600,0.9605,0.9601,1218186,25.26,0.5837
USPS,3,0.5,LinearProbe,0.9337,0.9298,0.9281,0.9280,1290,44.65,0.5774
USPS,3,0.5,BitFit,0.9576,0.9532,0.9551,0.9539,8714,92.30,0.4640
USPS,3,0.5,SSF,0.9591,0.9550,0.9576,0.9561,1792,61.35,0.6046
USPS,3,0.5,Adapter,0.9507,0.9522,0.9455,0.9484,25440,26.80,0.4881
USPS,3,0.5,LoRA,0.9586,0.9549,0.9561,0.9553,49704,35.49,0.7071
USPS,3,0.5,LFW(ours),0.9362,0.9338,0.9317,0.9320,3072,25.20,0.4594
USPS,3,0.5,FFT,0.9611,0.9579,0.9590,0.9583,1218186,57.75,0.4590
USPS,3,1,LinearProbe,0.9417,0.9383,0.9368,0.9372,1290,44.96,0.4632
USPS,3,1,BitFit,0.9591,0.9557,0.9569,0.9561,8714,62.36,0.4547
