dataset,seed,sigma,method,f1,acc
Adult,2,0.5,ZeroShot,0.672060,0.784152
Adult,2,0.5,LFW(ours),0.690187,0.801720
Adult,2,0.5,FFT,0.668532,0.790909
Adult,2,0.5,BitFit,0.670396,0.790418
Adult,2,1.0,ZeroShot,0.592453,0.736241
Adult,2,1.0,LFW(ours),0.611712,0.746560
Adult,2,1.0,FFT,0.584803,0.741646
Adult,2,1.0,BitFit,0.587806,0.738698
Adult,3,0.1,ZeroShot,0.786625,0.853440
Adult,3,0.1,LFW(ours),0.783601,0.847174
Adult,3,0.1,FFT,0.785760,0.851351
Adult,3,0.1,BitFit,0.786625,0.853440
Adult,3,0.5,ZeroShot,0.652310,0.757862
Adult,3,0.5,LFW(ours),0.695776,0.778747
Adult,3,0.5,FFT,0.654195,0.757125
Adult,3,0.5,BitFit,0.652310,0.757862
Adult,3,1.0,ZeroShot,0.582803,0.699386
Adult,3,1.0,LFW(ours),0.623975,0.718305
Adult,3,1.0,FFT,0.579336,0.697052
Adult,3,1.0,BitFit,0.582803,0.699386
Adult,4,0.1,ZeroShot,0.786452,0.842629
Adult,4,0.1,LFW(ours),0.783353,0.848771
Adult,4,0.1,FFT,0.782599,0.847543
Adult,4,0.1,BitFit,0.782699,0.843366
Adult,4,0.5,ZeroShot,0.677089,0.779853
Adult,4,0.5,LFW(ours),0.689793,0.794226
Adult,4,0.5,FFT,0.669023,0.787346
Adult,4,0.5,BitFit,0.673924,0.781204
Adult,4,1.0,ZeroShot,0.600263,0.736609
Adult,4,1.0,LFW(ours),0.610858,0.745946
Adult,4,1.0,FFT,0.590426,0.745455
Adult,4,1.0,BitFit,0.600441,0.739435
Satimage,0,0.1,ZeroShot,0.846802,0.872744
Satimage,0,0.1,LFW(ours),0.848804,0.877256
Satimage,0,0.1,FFT,0.841876,0.869134
Satimage,0,0.1,BitFit,0.846802,0.872744
Satimage,0,0.5,ZeroShot,0.799876,0.830325
Satimage,0,0.5,LFW(ours),0.791232,0.824007
Satimage,0,0.5,FFT,0.761969,0.803249
Satimage,0,0.5,BitFit,0.799876,0.830325
Satimage,0,1.0,ZeroShot,0.640164,0.665162
Satimage,0,1.0,LFW(ours),0.634054,0.661552
Satimage,0,1.0,FFT,0.614561,0.650722
Satimage,0,1.0,BitFit,0.640164,0.665162
Satimage,1,0.1,ZeroShot,0.839856,0.874549
Satimage,1,0.1,LFW(ours),0.847296,0.875451
Satimage,1,0.1,FFT,0.836173,0.863718
Satimage,1,0.1,BitFit,0.838876,0.873646
Satimage,1,0.5,ZeroShot,0.773853,0.809567
Satimage,1,0.5,LFW(ours),0.765339,0.795126
Satimage,1,0.5,FFT,0.733754,0.761733
Satimage,1,0.5,BitFit,0.773930,0.808664
Satimage,1,1.0,ZeroShot,0.611641,0.636282
Satimage,1,1.0,LFW(ours),0.592747,0.613718
Satimage,1,1.0,FFT,0.568065,0.591155
Satimage,1,1.0,BitFit,0.610503,0.635379
Satimage,2,0.1,ZeroShot,0.841514,0.872744
Satimage,2,0.1,LFW(ours),0.838544,0.873646
Satimage,2,0.1,FFT,0.830991,0.865523
Satimage,2,0.1,BitFit,0.841514,0.872744
Satimage,2,0.5,ZeroShot,0.778086,0.817690
Satimage,2,0.5,LFW(ours),0.759317,0.797834
Satimage,2,0.5,FFT,0.750371,0.785199
Satimage,2,0.5,BitFit,0.778086,0.817690
Satimage,2,1.0,ZeroShot,0.639997,0.668773
Satimage,2,1.0,LFW(ours),0.614700,0.643502
Satimage,2,1.0,FFT,0.604744,0.625451
Satimage,2,1.0,BitFit,0.639997,0.668773
Satimage,3,0.1,ZeroShot,0.854729,0.877256
Satimage,3,0.1,LFW(ours),0.854729,0.877256
Satimage,3,0.1,FFT,0.854368,0.881769
Satimage,3,0.1,BitFit,0.854729,0.877256
Satimage,3,0.5,ZeroShot,0.772574,0.789711
Satimage,3,0.5,LFW(ours),0.772574,0.789711
Satimage,3,0.5,FFT,0.788860,0.816787
Satimage,3,0.5,BitFit,0.772574,0.789711
Satimage,3,1.0,ZeroShot,0.598380,0.607401
Satimage,3,1.0,LFW(ours),0.598380,0.607401
Satimage,3,1.0,FFT,0.624295,0.643502
Satimage,3,1.0,BitFit,0.598380,0.607401
Satimage,4,0.1,ZeroShot,0.832394,0.861011
Satimage,4,0.1,LFW(ours),0.832394,0.861011
Satimage,4,0.1,FFT,0.837971,0.870036
Satimage,4,0.1,BitFit,0.832394,0.861011
Satimage,4,0.5,ZeroShot,0.768869,0.808664
Satimage,4,0.5,LFW(ours),0.768869,0.808664
