dataset,seed,noise_p,method,f1,acc
Bank,3,0.3,FFT,0.652772,0.843404
Bank,3,0.3,BitFit,0.732183,0.871185
Bank,4,0.1,LFW(ours),0.721220,0.895426
Bank,4,0.1,FFT,0.667423,0.851278
Bank,4,0.1,BitFit,0.722588,0.879766
Bank,4,0.2,LFW(ours),0.734468,0.892506
Bank,4,0.2,FFT,0.669759,0.851455
Bank,4,0.2,BitFit,0.721899,0.877732
Bank,4,0.3,LFW(ours),0.722588,0.879766
Bank,4,0.3,FFT,0.636660,0.791471
Bank,4,0.3,BitFit,0.722588,0.879766
Adult,0,0.1,LFW(ours),0.773277,0.842752
Adult,0,0.1,FFT,0.789367,0.850491
Adult,0,0.1,BitFit,0.787715,0.847174
Adult,0,0.2,LFW(ours),0.772050,0.829853
Adult,0,0.2,FFT,0.788732,0.839926
Adult,0,0.2,BitFit,0.783519,0.827764
Adult,0,0.3,LFW(ours),0.790670,0.852334
Adult,0,0.3,FFT,0.777255,0.829361
Adult,0,0.3,BitFit,0.792480,0.844717
Adult,1,0.1,LFW(ours),0.787853,0.845332
Adult,1,0.1,FFT,0.776383,0.845455
Adult,1,0.1,BitFit,0.785848,0.835995
Adult,1,0.2,LFW(ours),0.789048,0.845209
Adult,1,0.2,FFT,0.766856,0.829607
Adult,1,0.2,BitFit,0.786091,0.836486
Adult,1,0.3,LFW(ours),0.787853,0.845332
Adult,1,0.3,FFT,0.785224,0.835135
Adult,1,0.3,BitFit,0.786010,0.835258
Adult,2,0.1,LFW(ours),0.794340,0.849877
Adult,2,0.1,FFT,0.791990,0.847420
Adult,2,0.1,BitFit,0.788823,0.851229
Adult,2,0.2,LFW(ours),0.794340,0.849877
Adult,2,0.2,FFT,0.793000,0.843612
Adult,2,0.2,BitFit,0.792632,0.842506
Adult,2,0.3,LFW(ours),0.794340,0.849877
Adult,2,0.3,FFT,0.792705,0.842138
Adult,2,0.3,BitFit,0.791611,0.841155
Adult,3,0.1,LFW(ours),0.792657,0.848649
Adult,3,0.1,FFT,0.779895,0.851106
Adult,3,0.1,BitFit,0.790825,0.848034
Adult,3,0.2,LFW(ours),0.780669,0.827641
Adult,3,0.2,FFT,0.782667,0.829484
Adult,3,0.2,BitFit,0.790445,0.847543
Adult,3,0.3,LFW(ours),0.783345,0.828133
Adult,3,0.3,FFT,0.761731,0.801106
Adult,3,0.3,BitFit,0.754755,0.791155
Adult,4,0.1,LFW(ours),0.789952,0.848403
Adult,4,0.1,FFT,0.793386,0.846806
Adult,4,0.1,BitFit,0.794036,0.846314
Adult,4,0.2,LFW(ours),0.792710,0.841769
Adult,4,0.2,FFT,0.779157,0.831081
Adult,4,0.2,BitFit,0.794036,0.846314
Adult,4,0.3,LFW(ours),0.794036,0.846314
Adult,4,0.3,FFT,0.764407,0.832432
Adult,4,0.3,BitFit,0.794036,0.846314
Satimage,0,0.1,LFW(ours),0.833205,0.859206
Satimage,0,0.1,FFT,0.833356,0.864621
Satimage,0,0.1,BitFit,0.841165,0.869134
Satimage,0,0.2,LFW(ours),0.813727,0.841155
Satimage,0,0.2,FFT,0.842047,0.873646
Satimage,0,0.2,BitFit,0.841165,0.869134
Satimage,0,0.3,LFW(ours),0.841165,0.869134
Satimage,0,0.3,FFT,0.831110,0.851986
Satimage,0,0.3,BitFit,0.841165,0.869134
Satimage,1,0.1,LFW(ours),0.858779,0.888087
Satimage,1,0.1,FFT,0.853916,0.875451
Satimage,1,0.1,BitFit,0.857522,0.888087
Satimage,1,0.2,LFW(ours),0.857235,0.887184
Satimage,1,0.2,FFT,0.822841,0.852888
Satimage,1,0.2,BitFit,0.857033,0.888087
Satimage,1,0.3,LFW(ours),0.856972,0.887184
Satimage,1,0.3,FFT,0.759365,0.784296
Satimage,1,0.3,BitFit,0.857522,0.888087
Satimage,2,0.1,LFW(ours),0.846191,0.873646
Satimage,2,0.1,FFT,0.810871,0.848375
Satimage,2,0.1,BitFit,0.837918,0.870036
Satimage,2,0.2,LFW(ours),0.799904,0.841155
Satimage,2,0.2,FFT,0.818019,0.853791
Satimage,2,0.2,BitFit,0.837918,0.870036
Satimage,2,0.3,LFW(ours),0.855254,0.880866
Satimage,2,0.3,FFT,0.852654,0.870939
Satimage,2,0.3,BitFit,0.837918,0.870036
Satimage,3,0.1,LFW(ours),0.865475,0.884477
Satimage,3,0.1,FFT,0.862495,0.883574
Satimage,3,0.1,BitFit,0.865475,0.884477
Satimage,3,0.2,LFW(ours),0.781454,0.819495
Satimage,3,0.2,FFT,0.852742,0.869134
Satimage,3,0.2,BitFit,0.865475,0.884477
Satimage,3,0.3,LFW(ours),0.861814,0.881769
Satimage,3,0.3,FFT,0.858719,0.876354
Satimage,3,0.3,BitFit,0.865475,0.884477
Satimage,4,0.1,LFW(ours),0.830069,0.860108
Satimage,4,0.1,FFT,0.839718,0.861011
Satimage,4,0.1,BitFit,0.830069,0.860108
Satimage,4,0.2,LFW(ours),0.830069,0.860108
Satimage,4,0.2,FFT,0.841323,0.866426
Satimage,4,0.2,BitFit,0.830069,0.860108
Satimage,4,0.3,LFW(ours),0.830069,0.860108
Satimage,4,0.3,FFT,0.841795,0.866426
Satimage,4,0.3,BitFit,0.830069,0.860108
Digits,0,0.1,LFW(ours),0.947793,0.948775
Digits,0,0.1,FFT,0.941152,0.942094
Digits,0,0.1,BitFit,0.947793,0.948775
Digits,0,0.2,LFW(ours),0.947793,0.948775
Digits,0,0.2,FFT,0.942860,0.944321
Digits,0,0.2,BitFit,0.947793,0.948775
Digits,0,0.3,LFW(ours),0.947793,0.948775
Digits,0,0.3,FFT,0.943478,0.944321
Digits,0,0.3,BitFit,0.947793,0.948775
Digits,1,0.1,LFW(ours),0.905700,0.906459
Digits,1,0.1,FFT,0.959389,0.959911
Digits,1,0.1,BitFit,0.963719,0.964365
Digits,1,0.2,LFW(ours),0.963719,0.964365
Digits,1,0.2,FFT,0.932495,0.930958
Digits,1,0.2,BitFit,0.963719,0.964365
Digits,1,0.3,LFW(ours),0.935225,0.935412
Digits,1,0.3,FFT,0.959466,0.959911
Digits,1,0.3,BitFit,0.963719,0.964365
Digits,2,0.1,LFW(ours),0.956900,0.957684
Digits,2,0.1,FFT,0.954762,0.955457
Digits,2,0.1,BitFit,0.956900,0.957684
Digits,2,0.2,LFW(ours),0.956900,0.957684
Digits,2,0.2,FFT,0.961411,0.962138
Digits,2,0.2,BitFit,0.956900,0.957684
Digits,2,0.3,LFW(ours),0.956900,0.957684
Digits,2,0.3,FFT,0.956750,0.957684
Digits,2,0.3,BitFit,0.956900,0.957684
Digits,3,0.1,LFW(ours),0.970258,0.971047
Digits,3,0.1,FFT,0.967914,0.968820
Digits,3,0.1,BitFit,0.970258,0.971047
Digits,3,0.2,LFW(ours),0.970258,0.971047
Digits,3,0.2,FFT,0.963195,0.964365
Digits,3,0.2,BitFit,0.970258,0.971047
Digits,3,0.3,LFW(ours),0.970258,0.971047
Digits,3,0.3,FFT,0.961591,0.962138
Digits,3,0.3,BitFit,0.970258,0.971047
Digits,4,0.1,LFW(ours),0.969991,0.971047
Digits,4,0.1,FFT,0.961177,0.962138
Digits,4,0.1,BitFit,0.969991,0.971047
Digits,4,0.2,LFW(ours),0.969991,0.971047
Digits,4,0.2,FFT,0.965641,0.966592
Digits,4,0.2,BitFit,0.969991,0.971047
Digits,4,0.3,LFW(ours),0.969991,0.971047
Digits,4,0.3,FFT,0.967776,0.968820
Digits,4,0.3,BitFit,0.969991,0.971047
Spambase,0,0.1,LFW(ours),0.947743,0.950435
Spambase,0,0.1,FFT,0.922158,0.925217
Spambase,0,0.1,BitFit,0.947743,0.950435
Spambase,0,0.2,LFW(ours),0.946892,0.949565
Spambase,0,0.2,FFT,0.949977,0.952174
Spambase,0,0.2,BitFit,0.947743,0.950435
Spambase,0,0.3,LFW(ours),0.947743,0.950435
Spambase,0,0.3,FFT,0.946979,0.949565
Spambase,0,0.3,BitFit,0.947743,0.950435
Spambase,1,0.1,LFW(ours),0.915185,0.920000
Spambase,1,0.1,FFT,0.916424,0.921739
Spambase,1,0.1,BitFit,0.915185,0.920000
Spambase,1,0.2,LFW(ours),0.915185,0.920000
Spambase,1,0.2,FFT,0.916217,0.920870
Spambase,1,0.2,BitFit,0.915185,0.920000
Spambase,1,0.3,LFW(ours),0.915185,0.920000
Spambase,1,0.3,FFT,0.917315,0.921739
Spambase,1,0.3,BitFit,0.915185,0.920000
Spambase,2,0.1,LFW(ours),0.946892,0.949565
Spambase,2,0.1,FFT,0.938406,0.940870
Spambase,2,0.1,BitFit,0.946892,0.949565
Spambase,2,0.2,LFW(ours),0.902244,0.906087
Spambase,2,0.2,FFT,0.939155,0.941739
Spambase,2,0.2,BitFit,0.946892,0.949565
Spambase,2,0.3,LFW(ours),0.946892,0.949565
Spambase,2,0.3,FFT,0.937477,0.940000
Spambase,2,0.3,BitFit,0.946892,0.949565
Spambase,3,0.1,LFW(ours),0.922692,0.926087
Spambase,3,0.1,FFT,0.924453,0.927826
Spambase,3,0.1,BitFit,0.922692,0.926087
Spambase,3,0.2,LFW(ours),0.922692,0.926087
Spambase,3,0.2,FFT,0.925449,0.928696
Spambase,3,0.2,BitFit,0.922692,0.926087
Spambase,3,0.3,LFW(ours),0.922692,0.926087
Spambase,3,0.3,FFT,0.919355,0.922609
Spambase,3,0.3,BitFit,0.922692,0.926087
Spambase,4,0.1,LFW(ours),0.947063,0.949565
Spambase,4,0.1,FFT,0.946172,0.948696
Spambase,4,0.1,BitFit,0.947063,0.949565
Spambase,4,0.2,LFW(ours),0.947063,0.949565
Spambase,4,0.2,FFT,0.837673,0.841739
Spambase,4,0.2,BitFit,0.947063,0.949565
Spambase,4,0.3,LFW(ours),0.947063,0.949565
Spambase,4,0.3,FFT,0.899921,0.901739
Spambase,4,0.3,BitFit,0.947063,0.949565
Credit-g,0,0.1,LFW(ours),0.506766,0.604000
Credit-g,0,0.1,FFT,0.454288,0.692000
Credit-g,0,0.1,BitFit,0.565919,0.716000
Credit-g,0,0.2,LFW(ours),0.565919,0.716000
Credit-g,0,0.2,FFT,0.512671,0.700000
Credit-g,0,0.2,BitFit,0.565919,0.716000
Credit-g,0,0.3,LFW(ours),0.577734,0.640000
Credit-g,0,0.3,FFT,0.419643,0.688000
Credit-g,0,0.3,BitFit,0.565919,0.716000
Credit-g,1,0.1,LFW(ours),0.512500,0.688000
Credit-g,1,0.1,FFT,0.427656,0.680000
Credit-g,1,0.1,BitFit,0.406176,0.684000
Credit-g,1,0.2,LFW(ours),0.509913,0.684000
Credit-g,1,0.2,FFT,0.429372,0.684000
Credit-g,1,0.2,BitFit,0.406176,0.684000
Credit-g,1,0.3,LFW(ours),0.509913,0.684000
Credit-g,1,0.3,FFT,0.542602,0.684000
Credit-g,1,0.3,BitFit,0.406176,0.684000
Credit-g,2,0.1,LFW(ours),0.491979,0.544000
Credit-g,2,0.1,FFT,0.406176,0.684000
Credit-g,2,0.1,BitFit,0.463749,0.500000
Credit-g,2,0.2,LFW(ours),0.498078,0.580000
Credit-g,2,0.2,FFT,0.406176,0.684000
Credit-g,2,0.2,BitFit,0.463749,0.500000
Credit-g,2,0.3,LFW(ours),0.456863,0.460000
Credit-g,2,0.3,FFT,0.406176,0.684000
Credit-g,2,0.3,BitFit,0.450419,0.480000
Credit-g,3,0.1,LFW(ours),0.556044,0.596000
Credit-g,3,0.1,FFT,0.487664,0.492000
Credit-g,3,0.1,BitFit,0.416501,0.680000
Credit-g,3,0.2,LFW(ours),0.521684,0.544000
Credit-g,3,0.2,FFT,0.483238,0.488000
Credit-g,3,0.2,BitFit,0.416501,0.680000
Credit-g,3,0.3,LFW(ours),0.568303,0.636000
Credit-g,3,0.3,FFT,0.399385,0.400000
Credit-g,3,0.3,BitFit,0.416501,0.680000
Credit-g,4,0.1,LFW(ours),0.454463,0.576000
Credit-g,4,0.1,FFT,0.413347,0.672000
Credit-g,4,0.1,BitFit,0.406176,0.684000
Credit-g,4,0.2,LFW(ours),0.458874,0.592000
Credit-g,4,0.2,FFT,0.401914,0.672000
Credit-g,4,0.2,BitFit,0.406176,0.684000
Credit-g,4,0.3,LFW(ours),0.440789,0.592000
Credit-g,4,0.3,FFT,0.417249,0.600000
Credit-g,4,0.3,BitFit,0.406176,0.684000
WDBC,0,0.1,LFW(ours),0.962940,0.965035
WDBC,0,0.1,FFT,0.970246,0.972028
WDBC,0,0.1,BitFit,0.962940,0.965035
WDBC,0,0.2,LFW(ours),0.962940,0.965035
WDBC,0,0.2,FFT,0.970246,0.972028
WDBC,0,0.2,BitFit,0.962940,0.965035
WDBC,0,0.3,LFW(ours),0.962940,0.965035
WDBC,0,0.3,FFT,0.955682,0.958042
WDBC,0,0.3,BitFit,0.962940,0.965035
WDBC,1,0.1,LFW(ours),0.884135,0.895105
WDBC,1,0.1,FFT,0.803030,0.832168
WDBC,1,0.1,BitFit,0.884135,0.895105
WDBC,1,0.2,LFW(ours),0.884135,0.895105
WDBC,1,0.2,FFT,0.880982,0.888112
WDBC,1,0.2,BitFit,0.884135,0.895105
WDBC,1,0.3,LFW(ours),0.884135,0.895105
WDBC,1,0.3,FFT,0.843202,0.860140
WDBC,1,0.3,BitFit,0.884135,0.895105
WDBC,2,0.1,LFW(ours),0.890276,0.895105
WDBC,2,0.1,FFT,0.918468,0.923077
WDBC,2,0.1,BitFit,0.890276,0.895105
WDBC,2,0.2,LFW(ours),0.890276,0.895105
WDBC,2,0.2,FFT,0.897899,0.902098
WDBC,2,0.2,BitFit,0.890276,0.895105
WDBC,2,0.3,LFW(ours),0.890276,0.895105
WDBC,2,0.3,FFT,0.896591,0.902098
WDBC,2,0.3,BitFit,0.890276,0.895105
WDBC,3,0.1,LFW(ours),0.954670,0.958042
WDBC,3,0.1,FFT,0.955368,0.958042
WDBC,3,0.1,BitFit,0.954670,0.958042
WDBC,3,0.2,LFW(ours),0.954670,0.958042
WDBC,3,0.2,FFT,0.933745,0.937063
WDBC,3,0.2,BitFit,0.954670,0.958042
WDBC,3,0.3,LFW(ours),0.954670,0.958042
WDBC,3,0.3,FFT,0.915033,0.923077
WDBC,3,0.3,BitFit,0.954670,0.958042
WDBC,4,0.1,LFW(ours),0.940491,0.944056
WDBC,4,0.1,FFT,0.940491,0.944056
WDBC,4,0.1,BitFit,0.940491,0.944056
WDBC,4,0.2,LFW(ours),0.940491,0.944056
WDBC,4,0.2,FFT,0.940491,0.944056
WDBC,4,0.2,BitFit,0.940491,0.944056
WDBC,4,0.3,LFW(ours),0.940491,0.944056
WDBC,4,0.3,FFT,0.926136,0.930070
WDBC,4,0.3,BitFit,0.940491,0.944056
Heart,0,0.1,LFW(ours),0.807246,0.815789
Heart,0,0.1,FFT,0.817544,0.828947
Heart,0,0.1,BitFit,0.807246,0.815789
Heart,0,0.2,LFW(ours),0.807246,0.815789
Heart,0,0.2,FFT,0.807246,0.815789
Heart,0,0.2,BitFit,0.807246,0.815789
Heart,0,0.3,LFW(ours),0.807246,0.815789
Heart,0,0.3,FFT,0.822014,0.828947
Heart,0,0.3,BitFit,0.807246,0.815789
Heart,1,0.1,LFW(ours),0.822014,0.828947
Heart,1,0.1,FFT,0.804842,0.815789
Heart,1,0.1,BitFit,0.822014,0.828947
Heart,1,0.2,LFW(ours),0.840336,0.842105
Heart,1,0.2,FFT,0.855037,0.855263
Heart,1,0.2,BitFit,0.822014,0.828947
Heart,1,0.3,LFW(ours),0.822014,0.828947
Heart,1,0.3,FFT,0.822014,0.828947
Heart,1,0.3,BitFit,0.822014,0.828947
Heart,2,0.1,LFW(ours),0.758985,0.763158
Heart,2,0.1,FFT,0.760504,0.763158
Heart,2,0.1,BitFit,0.746444,0.750000
Heart,2,0.2,LFW(ours),0.761404,0.776316
Heart,2,0.2,FFT,0.672157,0.710526
Heart,2,0.2,BitFit,0.746444,0.750000
Heart,2,0.3,LFW(ours),0.733894,0.736842
Heart,2,0.3,FFT,0.746444,0.750000
Heart,2,0.3,BitFit,0.746444,0.750000
Heart,3,0.1,LFW(ours),0.684211,0.684211
Heart,3,0.1,FFT,0.673118,0.684211
Heart,3,0.1,BitFit,0.684211,0.684211
Heart,3,0.2,LFW(ours),0.684211,0.684211
Heart,3,0.2,FFT,0.670996,0.671053
Heart,3,0.2,BitFit,0.684211,0.684211
Heart,3,0.3,LFW(ours),0.684211,0.684211
Heart,3,0.3,FFT,0.641697,0.644737
Heart,3,0.3,BitFit,0.684211,0.684211
Heart,4,0.1,LFW(ours),0.632440,0.657895
Heart,4,0.1,FFT,0.709722,0.710526
Heart,4,0.1,BitFit,0.632440,0.657895
Heart,4,0.2,LFW(ours),0.632440,0.657895
Heart,4,0.2,FFT,0.643861,0.671053
Heart,4,0.2,BitFit,0.632440,0.657895
Heart,4,0.3,LFW(ours),0.632440,0.657895
Heart,4,0.3,FFT,0.661138,0.671053
Heart,4,0.3,BitFit,0.632440,0.657895
