dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
HAR,3,0.1,LinearProbe,0.946368,0.949067,0.945340,0.946436,3078,0.13,0.0453
HAR,3,0.1,BitFit,0.946368,0.949067,0.945340,0.946436,1542,0.19,0.0405
HAR,3,0.1,SSF,0.946368,0.949067,0.945340,0.946436,4194,0.22,0.0542
HAR,3,0.1,Adapter,0.946368,0.949067,0.945340,0.946436,66112,0.27,0.0484
HAR,3,0.1,LoRA,0.946368,0.949067,0.945340,0.946436,14556,0.42,0.0449
HAR,3,0.1,LFW(ours),0.958588,0.959344,0.958503,0.958819,561,0.53,0.0419
HAR,3,0.1,FFT,0.926680,0.930412,0.923959,0.925181,1103366,2.45,0.0353
HAR,3,0.2,ZeroShot,0.946368,0.949067,0.945340,0.946436,0,0.00,0.0386
HAR,3,0.2,VarFilter,0.907671,0.918891,0.902205,0.904789,0,0.00,0.0417
HAR,3,0.2,MIFilter,0.913781,0.916155,0.912163,0.913435,0,0.00,0.0402
HAR,3,0.2,LR,0.923286,0.925565,0.923218,0.923572,3372,0.03,0.0010
HAR,3,0.2,SVM,0.934148,0.935635,0.934746,0.934466,114332,0.01,0.0913
HAR,3,0.2,RF,0.921249,0.929110,0.920478,0.921034,9414,0.30,0.0333
HAR,3,0.2,LinearProbe,0.946368,0.949067,0.945340,0.946436,3078,0.19,0.0406
HAR,3,0.2,BitFit,0.946368,0.949067,0.945340,0.946436,1542,0.24,0.0379
HAR,3,0.2,SSF,0.946368,0.949067,0.945340,0.946436,4194,0.37,0.0542
HAR,3,0.2,Adapter,0.946368,0.949067,0.945340,0.946436,66112,0.22,0.0488
HAR,3,0.2,LoRA,0.946368,0.949067,0.945340,0.946436,14556,0.67,0.0475
HAR,3,0.2,LFW(ours),0.946368,0.949067,0.945340,0.946436,561,0.61,0.0416
HAR,3,0.2,FFT,0.953157,0.953583,0.952570,0.952812,1103366,4.08,0.0389
HAR,3,0.5,ZeroShot,0.946368,0.949067,0.945340,0.946436,0,0.00,0.0390
HAR,3,0.5,VarFilter,0.927359,0.929805,0.924302,0.925653,0,0.00,0.0427
HAR,3,0.5,MIFilter,0.911745,0.914187,0.910049,0.911312,0,0.00,0.0410
HAR,3,0.5,LR,0.959267,0.960288,0.959447,0.959712,3372,0.07,0.0015
HAR,3,0.5,SVM,0.967413,0.967650,0.967986,0.967769,232060,0.05,0.1903
HAR,3,0.5,RF,0.955872,0.956218,0.955361,0.955692,17530,0.50,0.0266
HAR,3,0.5,LinearProbe,0.965377,0.966247,0.965497,0.965668,3078,0.97,0.0427
HAR,3,0.5,BitFit,0.947047,0.947696,0.946853,0.947182,1542,1.59,0.0406
HAR,3,0.5,SSF,0.949762,0.950450,0.949642,0.949942,4194,1.27,0.0610
HAR,3,0.5,Adapter,0.953836,0.954172,0.953168,0.953517,66112,0.80,0.0492
HAR,3,0.5,LoRA,0.953836,0.954135,0.953551,0.953594,14556,1.91,0.0460
HAR,3,0.5,LFW(ours),0.966056,0.966964,0.966111,0.966128,561,3.07,0.0479
HAR,3,0.5,FFT,0.968771,0.968602,0.968732,0.968396,1103366,8.66,0.0393
HAR,3,1.0,ZeroShot,0.946368,0.949067,0.945340,0.946436,0,0.00,0.0417
HAR,3,1.0,VarFilter,0.924644,0.926954,0.921177,0.922461,0,0.00,0.0413
HAR,3,1.0,MIFilter,0.911745,0.914349,0.909640,0.910854,0,0.00,0.0405
HAR,3,1.0,LR,0.970808,0.971233,0.971437,0.971319,3372,0.22,0.0011
HAR,3,1.0,SVM,0.975560,0.975892,0.976203,0.976044,358278,0.13,0.2953
HAR,3,1.0,RF,0.978955,0.979261,0.978255,0.978653,27700,0.87,0.0261
HAR,3,1.0,LinearProbe,0.971487,0.971408,0.971803,0.971593,3078,1.42,0.0411
HAR,3,1.0,BitFit,0.947726,0.948380,0.947563,0.947879,1542,1.88,0.0419
HAR,3,1.0,SSF,0.946368,0.946726,0.946592,0.946561,4194,2.09,0.0567
HAR,3,1.0,Adapter,0.971487,0.971853,0.971589,0.971703,66112,2.17,0.0469
HAR,3,1.0,LoRA,0.963340,0.963662,0.964084,0.963569,14556,3.49,0.0483
HAR,3,1.0,LFW(ours),0.972166,0.972484,0.972405,0.972416,561,3.84,0.0407
HAR,3,1.0,FFT,0.973523,0.974210,0.973820,0.973923,1103366,10.04,0.0410
HAR,4,0.05,ZeroShot,0.956551,0.958131,0.955739,0.956571,0,0.00,0.0441
HAR,4,0.05,VarFilter,0.928717,0.932523,0.924518,0.925889,0,0.00,0.0512
HAR,4,0.05,MIFilter,0.910387,0.914069,0.910405,0.911310,0,0.00,0.0479
HAR,4,0.05,LR,0.883910,0.884744,0.884106,0.883992,3372,0.03,0.0009
HAR,4,0.05,SVM,0.833673,0.837880,0.831894,0.832818,32828,0.00,0.0253
HAR,4,0.05,RF,0.833673,0.833580,0.834013,0.832733,3634,0.27,0.0339
HAR,4,0.05,LinearProbe,0.956551,0.958131,0.955739,0.956571,3078,0.11,0.0415
HAR,4,0.05,BitFit,0.956551,0.958131,0.955739,0.956571,1542,0.12,0.0435
HAR,4,0.05,SSF,0.956551,0.958131,0.955739,0.956571,4194,0.14,0.0546
HAR,4,0.05,Adapter,0.956551,0.958131,0.955739,0.956571,66112,0.12,0.0445
HAR,4,0.05,LoRA,0.956551,0.958131,0.955739,0.956571,14556,0.40,0.0451
HAR,4,0.05,LFW(ours),0.956551,0.958131,0.955739,0.956571,561,0.25,0.0441
HAR,4,0.05,FFT,0.928717,0.941273,0.932317,0.929479,1103366,1.59,0.0395
HAR,4,0.1,ZeroShot,0.956551,0.958131,0.955739,0.956571,0,0.00,0.0408
HAR,4,0.1,VarFilter,0.940258,0.940372,0.938834,0.939365,0,0.00,0.0376
HAR,4,0.1,MIFilter,0.886626,0.890703,0.885901,0.887074,0,0.00,0.0397
HAR,4,0.1,LR,0.887305,0.888728,0.884430,0.885178,3372,0.03,0.0009
HAR,4,0.1,SVM,0.868975,0.868458,0.865565,0.866162,65656,0.01,0.0474
HAR,4,0.1,RF,0.873727,0.873305,0.869294,0.870157,5456,0.26,0.0262
HAR,4,0.1,LinearProbe,0.946368,0.949204,0.944384,0.945716,3078,0.16,0.0378
HAR,4,0.1,BitFit,0.956551,0.958131,0.955739,0.956571,1542,0.14,0.0395
HAR,4,0.1,SSF,0.955193,0.956459,0.954594,0.955279,4194,0.30,0.0630
HAR,4,0.1,Adapter,0.947726,0.949789,0.946456,0.947468,66112,0.19,0.0552
HAR,4,0.1,LoRA,0.958588,0.959854,0.958036,0.958673,14556,1.07,0.0465
HAR,4,0.1,LFW(ours),0.955193,0.956477,0.954142,0.954938,561,0.40,0.0502
HAR,4,0.1,FFT,0.936185,0.937837,0.936584,0.935045,1103366,1.89,0.0382
HAR,4,0.2,ZeroShot,0.956551,0.958131,0.955739,0.956571,0,0.00,0.0378
HAR,4,0.2,VarFilter,0.942295,0.943894,0.940648,0.941598,0,0.00,0.0425
HAR,4,0.2,MIFilter,0.892736,0.899776,0.894125,0.893715,0,0.00,0.0409
HAR,4,0.2,LR,0.939579,0.940425,0.939312,0.939403,3372,0.03,0.0013
HAR,4,0.2,SVM,0.934148,0.933710,0.934150,0.933661,116030,0.01,0.0860
HAR,4,0.2,RF,0.931432,0.928906,0.928056,0.928164,8954,0.31,0.0266
HAR,4,0.2,LinearProbe,0.964698,0.965228,0.963717,0.964278,3078,0.25,0.0363
HAR,4,0.2,BitFit,0.956551,0.958131,0.955739,0.956571,1542,0.22,0.0375
HAR,4,0.2,SSF,0.956551,0.958131,0.955739,0.956571,4194,0.46,0.0560
